,external_id,season,matchup
0,170104007,1997,JAX @ DEN
1,170104009,1997,SF @ GB
2,170105017,1997,PIT @ NE
3,170105029,1997,DAL @ CAR
4,170112009,1997,CAR @ GB
5,170112017,1997,JAX @ NE
6,170126009,1997,NE @ GB
7,170831002,1997,MIN @ BUF
8,170831004,1997,ARI @ CIN
9,170831007,1997,KC @ DEN
10,170831008,1997,ATL @ DET
11,170831010,1997,OAK @ TEN
12,170831014,1997,NO @ STL
13,170831015,1997,IND @ MIA
14,170831017,1997,SD @ NE
15,170831019,1997,PHI @ NYG
16,170831023,1997,DAL @ PIT
17,170831026,1997,NYJ @ SEA
18,170831027,1997,SF @ TB
19,170831029,1997,WSH @ CAR
20,170831033,1997,JAX @ BAL
21,170901009,1997,CHI @ GB
22,170907001,1997,CAR @ ATL
23,170907003,1997,MIN @ CHI
24,170907008,1997,TB @ DET
25,170907011,1997,NE @ IND
26,170907014,1997,SF @ STL
27,170907015,1997,TEN @ MIA
28,170907018,1997,SD @ NO
29,170907020,1997,BUF @ NYJ
30,170907021,1997,GB @ PHI
31,170907022,1997,DAL @ ARI
32,170907026,1997,DEN @ SEA
33,170907030,1997,NYG @ JAX
34,170907033,1997,CIN @ BAL
35,170908013,1997,KC @ OAK
36,170914001,1997,OAK @ ATL
37,170914003,1997,DET @ CHI
38,170914007,1997,STL @ DEN
39,170914009,1997,MIA @ GB
40,170914011,1997,SEA @ IND
41,170914012,1997,BUF @ KC
42,170914016,1997,TB @ MIN
43,170914017,1997,NYJ @ NE
44,170914019,1997,BAL @ NYG
45,170914024,1997,CAR @ SD
46,170914025,1997,NO @ SF
47,170914028,1997,ARI @ WSH
48,170915006,1997,PHI @ DAL
49,170921002,1997,IND @ BUF
50,170921007,1997,CIN @ DEN
51,170921009,1997,MIN @ GB
52,170921010,1997,BAL @ TEN
53,170921014,1997,NYG @ STL
54,170921017,1997,CHI @ NE
55,170921018,1997,DET @ NO
56,170921020,1997,OAK @ NYJ
57,170921025,1997,ATL @ SF
58,170921026,1997,SD @ SEA
59,170921027,1997,MIA @ TB
60,170921029,1997,KC @ CAR
61,170922030,1997,PIT @ JAX
62,170928001,1997,DEN @ ATL
63,170928004,1997,NYJ @ CIN
64,170928006,1997,CHI @ DAL
65,170928008,1997,GB @ DET
66,170928012,1997,SEA @ KC
67,170928013,1997,STL @ OAK
68,170928016,1997,PHI @ MIN
69,170928019,1997,NO @ NYG
70,170928023,1997,TEN @ PIT
71,170928024,1997,BAL @ SD
72,170928027,1997,ARI @ TB
73,170928028,1997,JAX @ WSH
74,170929029,1997,SF @ CAR
75,171005002,1997,DET @ BUF
76,171005003,1997,NO @ CHI
77,171005009,1997,TB @ GB
78,171005011,1997,NYJ @ IND
79,171005013,1997,SD @ OAK
80,171005015,1997,KC @ MIA
81,171005019,1997,DAL @ NYG
82,171005021,1997,WSH @ PHI
83,171005022,1997,MIN @ ARI
84,171005026,1997,TEN @ SEA
85,171005030,1997,CIN @ JAX
86,171005033,1997,PIT @ BAL
87,171006007,1997,NE @ DEN
88,171012003,1997,GB @ CHI
89,171012010,1997,CIN @ TEN
90,171012016,1997,CAR @ MIN
91,171012017,1997,BUF @ NE
92,171012018,1997,ATL @ NO
93,171012020,1997,MIA @ NYJ
94,171012022,1997,NYG @ ARI
95,171012023,1997,IND @ PIT
96,171012025,1997,STL @ SF
97,171012027,1997,DET @ TB
98,171012030,1997,PHI @ JAX
99,171013028,1997,DAL @ WSH
100,171016012,1997,SD @ KC
101,171019001,1997,SF @ ATL
102,171019004,1997,PIT @ CIN
103,171019006,1997,JAX @ DAL
104,171019008,1997,NYG @ DET
105,171019010,1997,WSH @ TEN
106,171019013,1997,DEN @ OAK
107,171019014,1997,SEA @ STL
108,171019018,1997,CAR @ NO
109,171019020,1997,NE @ NYJ
110,171019021,1997,ARI @ PHI
111,171019033,1997,MIA @ BAL
112,171020011,1997,BUF @ IND
113,171026002,1997,DEN @ BUF
114,171026014,1997,KC @ STL
115,171026018,1997,SF @ NO
116,171026019,1997,CIN @ NYG
117,171026021,1997,DAL @ PHI
118,171026022,1997,TEN @ ARI
119,171026023,1997,JAX @ PIT
120,171026024,1997,IND @ SD
121,171026026,1997,OAK @ SEA
122,171026027,1997,MIN @ TB
123,171026028,1997,BAL @ WSH
124,171026029,1997,ATL @ CAR
