external_id,first_name,last_name,full_name,display_name,short_name,team_id
5084939,Isaiah,Adams,Isaiah Adams,Isaiah Adams,I. Adams,22
3886809,Andre,Baccellia,Andre Baccellia,Andre Baccellia,A. Baccellia,22
15035,Kelvin,Beachum,Kelvin Beachum,Kelvin Beachum,K. Beachum,22
4429275,Trey,Benson,Trey Benson,Trey Benson,T. Benson,22
2578570,Jacoby,Brissett,Jacoby Brissett,Jacoby Brissett,J. Brissett,22
3128412,Evan,Brown,Evan Brown,Evan Brown,E. Brown,22
4575664,Jeremiah,Byers,Jeremiah Byers,Jeremiah Byers,J. Byers,22
4426857,Oscar,Cardenas,Oscar Cardenas,Oscar Cardenas,O. Cardenas,22
4240657,Michael,Carter,Michael Carter,Michael Carter,M. Carter,22
4431214,Hayden,Conner,Hayden Conner,Hayden Conner,H. Conner,22
3045147,James,Conner,James Conner,James Conner,J. Conner,22
4035870,Jake,Curhan,Jake Curhan,Jake Curhan,J. Curhan,22
4247276,McClendon,Curtis,McClendon Curtis,McClendon Curtis,M. Curtis,22
4240631,DeeJay,Dallas,DeeJay Dallas,DeeJay Dallas,D. Dallas,22
3914151,Josiah,Deguara,Josiah Deguara,Josiah Deguara,J. Deguara,22
4362478,Emari,Demercado,Emari Demercado,Emari Demercado,E. Demercado,22
4037235,Greg,Dortch,Greg Dortch,Greg Dortch,G. Dortch,22
4360739,Simi,Fehoko,Simi Fehoko,Simi Fehoko,S. Fehoko,22
3886633,Hjalte,Froholdt,Hjalte Froholdt,Hjalte Froholdt,H. Froholdt,22
4429782,Josh,Fryar,Josh Fryar,Josh Fryar,J. Fryar,22
4367199,Jon,Gaines II,Jon Gaines II,Jon Gaines II,J. Gaines II,22
4432705,Bryson,Green,Bryson Green,Bryson Green,B. Green,22
4432708,Marvin,Harrison Jr.,Marvin Harrison Jr.,Marvin Harrison Jr.,M. Harrison Jr.,22
4427423,Sincere,Haynesworth,Sincere Haynesworth,Sincere Haynesworth,S. Haynesworth,22
4426844,Elijah,Higgins,Elijah Higgins,Elijah Higgins,E. Higgins,22
4046715,Trishton,Jackson,Trishton Jackson,Trishton Jackson,T. Jackson,22
4428991,Paris,Johnson Jr.,Paris Johnson Jr.,Paris Johnson Jr.,P. Johnson Jr.,22
4362103,Christian,Jones,Christian Jones,Christian Jones,C. Jones,22
3059722,Zay,Jones,Zay Jones,Zay Jones,Z. Jones,22
