player_id,name_display,the_count
2330,Tom Brady,288
2580,Drew Brees,236
5536,Ben Roethlisberger,232
5526,Eli Manning,220
8416,Alex Smith,163
4459,Carson Palmer,152
1428,Peyton Manning,150
1575,Matt Hasselbeck,94
5615,Matt Schaub,92
112,Brett Favre,74
1753,Donovan McNabb,74
3636,David Garrard,67
8520,Kyle Orton,64
2549,Mike Vick,62
3609,Josh McCown,51
1682,Kurt Warner,50
1693,Jake Delhomme,46
1383,Jon Kitna,45
2149,Chad Pennington,44
4480,Rex Grossman,40
734,Kerry Collins,37
2026,Jeff Garcia,32
5547,J.P. Losman,25
2299,Marc Bulger,25
3531,Joey Harrington,21
733,Steve McNair,21
1398,Damon Huard,20
3529,David Carr,20
